lat,lon,rssi
15.889999999999999,108.31000000000012,-120.0
15.899999999999999,108.08,-120.0
15.899999999999999,108.09,-120.0
15.899999999999999,108.10000000000001,-120.0
15.899999999999999,108.11000000000001,-120.0
15.899999999999999,108.12000000000002,-120.0
15.899999999999999,108.13000000000002,-120.0
15.899999999999999,108.14000000000003,-120.0
15.899999999999999,108.15000000000003,-120.0
15.899999999999999,108.16000000000004,-120.0
15.899999999999999,108.17000000000004,-120.0
15.899999999999999,108.18000000000005,-120.0
15.899999999999999,108.19000000000005,-120.0
15.899999999999999,108.20000000000006,-120.0
15.899999999999999,108.21000000000006,-120.0
15.899999999999999,108.22000000000007,-120.0
15.899999999999999,108.23000000000008,-120.0
15.899999999999999,108.24000000000008,-120.0
15.899999999999999,108.25000000000009,-120.0
15.899999999999999,108.26000000000009,-120.0
15.899999999999999,108.2700000000001,-120.0
15.899999999999999,108.2800000000001,-120.0
15.899999999999999,108.2900000000001,-120.0
15.899999999999999,108.30000000000011,-120.0
15.899999999999999,108.31000000000012,-120.0
15.909999999999998,108.08,-120.0
15.909999999999998,108.09,-120.0
15.909999999999998,108.10000000000001,-120.0
15.909999999999998,108.11000000000001,-120.0
15.909999999999998,108.12000000000002,-120.0
15.909999999999998,108.13000000000002,-120.0
15.909999999999998,108.14000000000003,-120.0
15.909999999999998,108.15000000000003,-120.0
15.909999999999998,108.16000000000004,-120.0
15.909999999999998,108.17000000000004,-120.0
15.909999999999998,108.18000000000005,-120.0
15.909999999999998,108.19000000000005,-120.0
15.909999999999998,108.20000000000006,-120.0
15.909999999999998,108.21000000000006,-120.0
15.909999999999998,108.22000000000007,-120.0
15.909999999999998,108.23000000000008,-120.0
15.909999999999998,108.24000000000008,-120.0
15.909999999999998,108.25000000000009,-120.0
15.909999999999998,108.26000000000009,-120.0
15.909999999999998,108.2700000000001,-120.0
15.909999999999998,108.2800000000001,-120.0
15.909999999999998,108.2900000000001,-120.0
15.909999999999998,108.30000000000011,-120.0
15.909999999999998,108.31000000000012,-120.0
15.919999999999998,108.08,-120.0
15.919999999999998,108.09,-120.0
15.919999999999998,108.10000000000001,-120.0
15.919999999999998,108.11000000000001,-120.0
15.919999999999998,108.12000000000002,-120.0
15.919999999999998,108.13000000000002,-120.0
15.919999999999998,108.14000000000003,-120.0
15.919999999999998,108.15000000000003,-120.0
15.919999999999998,108.16000000000004,-120.0
15.919999999999998,108.17000000000004,-120.0
15.919999999999998,108.18000000000005,-120.0
15.919999999999998,108.19000000000005,-120.0
15.919999999999998,108.20000000000006,-120.0
15.919999999999998,108.21000000000006,-120.0
15.919999999999998,108.22000000000007,-120.0
15.919999999999998,108.23000000000008,-120.0
15.919999999999998,108.24000000000008,-120.0
